경우의 수,게임 기록,총보상,결과
71,일반 공격(성공: 1.00) / 일반 공격(성공: -0.88) / 일반 공격(성공: -1.00) / 일반 공격(성공: 5.50),4.62,승리
72,일반 공격(성공: 1.11) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 5.50),4.61,승리
73,일반 공격(성공: 1.08) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 5.50),4.58,승리
74,일반 공격(성공: 1.03) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 5.50),4.53,승리
75,일반 공격(성공: 1.00) / 일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 3.50),4.5,승리
76,일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 5.50),4.5,승리
77,틈새 공격(실패: -0.50) / 일반 공격(성공: -1.00) / 일반 공격(성공: 5.50),4.0,승리
78,일반 공격(성공: 1.00) / 틈새 공격(성공: 0.43) / 일반 공격(성공: -1.00) / 일반 공격(성공: 3.50),3.93,승리
79,일반 공격(성공: 1.00) / 틈새 공격(성공: 0.31) / 일반 공격(성공: -1.00) / 일반 공격(성공: 3.50),3.81,승리
80,일반 공격(성공: 1.00) / 틈새 공격(실패: -2.50) / 일반 공격(성공: -1.00) / 일반 공격(성공: 5.50),3.0,승리
81,틈새 공격(성공: 0.41) / 일반 공격(성공: 3.00) / 일반 공격(성공: -1.00),2.41,패배
82,일반 공격(성공: 1.24) / 틈새 공격(실패: -2.50) / 일반 공격(성공: 3.50),2.24,승리
83,일반 공격(성공: 1.00) / 일반 공격(성공: 1.00),2.0,패배
84,틈새 공격(성공: 0.49) / 일반 공격(성공: -1.00) / 일반 공격(성공: 2.50),1.99,승리
85,일반 공격(성공: 1.43) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.57) / 틈새 공격(성공: -1.51) / 일반 공격(성공: 4.50),1.84,승리
86,틈새 공격(성공: 0.27) / 일반 공격(성공: 1.00) / 일반 공격(성공: 0.50),1.77,승리
87,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.55) / 일반 공격(성공: -0.88) / 틈새 공격(성공: -1.51) / 일반 공격(성공: 4.50),1.57,승리
88,일반 공격(성공: 1.00) / 일반 공격(성공: 0.50),1.5,승리
89,일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.53) / 틈새 공격(성공: -1.51) / 일반 공격(성공: 4.50),1.46,승리
90,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.52) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.53) / 일반 공격(성공: 4.50),1.45,승리
91,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.50) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.56) / 일반 공격(성공: 4.50),1.43,승리
92,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.55) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.52) / 일반 공격(성공: 4.50),1.43,승리
93,일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.52) / 틈새 공격(성공: -1.55) / 일반 공격(성공: 4.50),1.43,승리
94,틈새 공격(성공: 0.42) / 일반 공격(성공: 3.00) / 일반 공격(실패: -2.00),1.42,패배
95,일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.55) / 틈새 공격(성공: -1.53) / 일반 공격(성공: 4.50),1.42,승리
96,일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.54) / 틈새 공격(성공: -1.53) / 일반 공격(성공: 4.50),1.42,승리
97,일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.55) / 틈새 공격(성공: -1.55) / 일반 공격(성공: 4.50),1.41,승리
98,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.53) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.57) / 일반 공격(성공: 4.50),1.4,승리
99,일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.59) / 틈새 공격(성공: -1.51) / 일반 공격(성공: 4.50),1.39,승리
100,틈새 공격(성공: 0.49) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.61) / 일반 공격(성공: 4.50),1.38,승리
101,틈새 공격(성공: 0.47) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.59) / 일반 공격(성공: 4.50),1.38,승리
102,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.54) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.59) / 일반 공격(성공: 4.50),1.38,승리
103,틈새 공격(성공: 0.38) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.51) / 일반 공격(성공: 4.50),1.36,승리
104,일반 공격(성공: 1.41) / 틈새 공격(성공: -1.55) / 일반 공격(성공: -1.00) / 일반 공격(성공: 2.50),1.36,승리
105,일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.53) / 틈새 공격(성공: -1.61) / 일반 공격(성공: 4.50),1.36,승리
106,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.53) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.62) / 일반 공격(성공: 4.50),1.36,승리
107,일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.62) / 틈새 공격(성공: -1.54) / 일반 공격(성공: 4.50),1.35,승리
108,틈새 공격(성공: 0.39) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.54) / 일반 공격(성공: 4.50),1.35,승리
109,일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.67) / 틈새 공격(성공: -1.50) / 일반 공격(성공: 4.50),1.33,승리
110,일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.64) / 틈새 공격(성공: -1.55) / 일반 공격(성공: 4.50),1.31,승리
111,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.69) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.51) / 일반 공격(성공: 4.50),1.31,승리
112,틈새 공격(성공: 0.37) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.57) / 일반 공격(성공: 4.50),1.31,승리
113,일반 공격(성공: 1.36) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.57) / 일반 공격(성공: 2.50),1.3,승리
114,일반 공격(성공: 1.43) / 일반 공격(성공: -3.00) / 틈새 공격(성공: -1.68) / 일반 공격(성공: 4.50),1.25,승리
115,일반 공격(성공: 1.16) / 일반 공격(성공: -3.00) / 틈새 공격(성공: -1.56) / 일반 공격(성공: 4.50),1.09,승리
116,일반 공격(실패: 0.15) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.62) / 일반 공격(성공: 4.50),1.03,승리
117,틈새 공격(성공: 0.49) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 2.50),0.99,승리
